Id,SalePrice
1461,117539.50927593966
1462,153480.41709843226
1463,178964.68979321193
1464,190587.87128270243
1465,192543.25210717658
1466,171287.50772674338
1467,176804.26817239076
1468,161037.00812285332
1469,188971.01582442148
1470,119790.95601665121
1471,191157.68844709365
1472,94543.39785269453
1473,94723.79516531942
1474,144685.18182996428
1475,117126.45043503678
1476,359696.66576303163
1477,246648.47408667364
1478,284071.1917527971
1479,275573.3756974686
1480,486987.7005769903
1481,331663.01867589145
1482,208313.34167664076
1483,171712.2262644755
1484,168571.86665305195
1485,184945.61762633052
1486,193415.62381548417
1487,305221.89497096324
1488,227420.9617867691
1489,187296.9111809568
1490,214566.79572014255
1491,190531.20746351586
1492,98577.97423416114
1493,182925.37281319054
1494,291388.8530306437
1495,291117.8106296363
1496,226514.11817237415
1497,175761.17050566417
1498,156938.28103807388
1499,159498.85056406358
1500,150748.57359332722
1501,165983.0008525332
1502,152120.0060660541
1503,277257.33160560287
1504,239858.80330095883
1505,221690.75974196172
1506,183461.14949499033
1507,242182.2267564417
1508,205251.54256184192
1509,156115.92843919637
1510,144022.99527734698
1511,139901.41919661523
1512,163849.62669125502
1513,139891.9634776618
1514,162233.0244571679
1515,181363.41069627617
1516,149380.4354245331
1517,159117.3914040152
1518,135749.12503883074
1519,213623.14406378558
1520,128927.71516168695
1521,131723.26669986197
1522,163213.73179496574
1523,104334.29267319842
1524,112979.18320524192
1525,117026.99807867839
1526,118088.3889534003
1527,100571.79598980263
1528,137934.75480463344
1529,136896.57684080245
1530,168884.32528899633
1531,109593.36432054627
1532,90922.26214862551
1533,131144.5058090711
1534,119363.74700676042
1535,149188.76900710133
1536,110237.30335772189
1537,85627.81905789842
1538,162708.18423202625
1539,186698.02292669646
1540,111544.58610351526
1541,141342.96083384223
1542,136537.98936912697
1543,194144.43956229326
1544,81570.47192485436
1545,102977.31627455965
1546,120225.54687108737
1547,119958.89403942497
1548,114257.62345967087
1549,104657.04772034485
1550,127058.79185341732
1551,120092.4062912497
1552,127989.34385588166
1553,133529.36265540647
1554,114557.66813013387
1555,164366.76797415328
1556,108254.8802933058
1557,102028.81405619347
1558,105790.80504358059
1559,96608.18072348186
1560,124230.82836260379
1561,138455.61423582677
1562,126332.15434792699
1563,117724.87203418597
1564,147970.98203045598
1565,142535.11043829715
1566,226826.43695629697
1567,86618.81398410763
1568,229880.42308316444
1569,142762.00163191976
1570,134526.36979604073
1571,117748.64019115263
1572,140876.36340244854
